eco	nlcd	count
0	11	8330600
0	21	4198
0	22	20636
0	23	20333
0	24	5906
0	31	279735
0	41	12940
0	42	32913
0	43	20908
0	52	546
0	71	9953
0	81	1020
0	82	609
0	90	31809
0	95	128454
5	11	18767085
5	21	10528215
5	22	4884671
5	23	977970
5	24	190688
5	31	1291648
5	41	128211376
5	42	35049294
5	43	67979714
5	52	7600780
5	71	7515896
5	81	14085013
5	82	9733610
5	90	89796427
5	95	9963823
6	11	8737421
6	12	814239
6	21	11131738
6	22	6519897
6	23	1041051
6	24	123427
6	31	14321229
6	41	25688242
6	42	476749516
6	43	4580515
6	52	242760838
6	71	85557309
6	81	11718942
6	82	8849620
6	90	7150203
6	95	7921127
7	11	1369004
7	12	39
7	21	4233027
7	22	3241705
7	23	2171043
7	24	549277
7	31	369948
7	41	1465189
7	42	45608133
7	43	7250705
7	52	9309620
7	71	4299206
7	81	9402855
7	82	1831789
7	90	2108013
7	95	1840067
8	11	68988722
8	21	157368414
8	22	101770361
8	23	39288395
8	24	11219613
8	31	8598705
8	41	600501444
8	42	281643369
8	43	181913336
8	52	53389582
8	71	43021573
8	81	417008336
8	82	511559203
8	90	286302044
8	95	40246338
9	11	28661224
9	12	10
9	21	58351103
9	22	37281197
9	23	12752699
9	24	2859740
9	31	6009913
9	41	62637104
9	42	33531931
9	43	4068874
9	52	436714408
9	71	787198085
9	81	171060848
9	82	780869346
9	90	19716112
9	95	43683314
10	11	12153951
10	12	1990
10	21	9716486
10	22	13384066
10	23	5152903
10	24	839816
10	31	63709659
10	41	4586660
10	42	88215836
10	43	49573
10	52	1171883222
10	71	97870680
10	81	11146326
10	82	77137860
10	90	7151436
10	95	10085514
11	11	2247989
11	12	8
11	21	6042112
11	22	6853819
11	23	7348783
11	24	1676456
11	31	487460
11	41	1127366
11	42	13541959
11	43	5735934
11	52	49414740
11	71	46198468
11	81	711203
11	82	38898831
11	90	828564
11	95	2314776
12	11	6786
12	21	264061
12	22	231773
12	23	43575
12	24	5202
12	31	222178
12	41	4098
12	42	3405864
12	43	2296
12	52	41859628
12	71	878294
12	81	14886
12	82	617974
12	90	141120
12	95	30835
13	11	125542
13	21	905348
13	22	584556
13	23	78093
13	24	7888
13	31	139574
13	41	257461
13	42	59769316
13	43	255071
13	52	56550562
13	71	2007667
13	81	86572
13	82	10428
13	90	159542
13	95	103206
15	11	2096504
15	21	524896
15	22	1526300
15	23	1395210
15	24	195533
15	31	40705
15	42	307466
15	43	37317
15	52	23934
15	71	9590
15	81	339084
15	82	3152595
15	90	4965090
15	95	10146896
